source,is_actual_sale,listing_type,price,area_sqm,property_type,bedrooms,bathrooms,floor,total_floors,year_built,district,municipality,latitude,longitude,distance_to_sea_km,distance_to_center_km,has_parking,has_sea_view,has_pool,has_garden,has_title_deed,is_tourist_area,sale_date,property_age,price_per_sqm,area_median_price_sqm
synthetic,True,new_build,222000,98,house,4.0,2.0,,1.0,1998.0,lemesos,Potamos Germasogeias,34.708976,33.057072,6.209,3.123,True,False,False,True,True,False,2024-07-01,27,2265.3061224489797,2204
synthetic,True,resale,215000,82,apartment,2.0,1.0,5.0,7.0,2020.0,pafos,Kato Paphos,34.765291,32.42034,1.851,1.186,False,False,False,False,True,True,2025-11-07,5,2621.951219512195,2730
synthetic,True,new_build,340000,172,apartment,3.0,1.0,5.0,6.0,1989.0,pafos,Kato Paphos,34.766798,32.411895,1.478,1.476,False,False,False,False,True,True,2025-05-13,36,1976.7441860465117,2730
synthetic,True,resale,238000,111,house,5.0,3.0,,1.0,1989.0,lemesos,Agía Zóni,34.676565,33.04666,1.775,0.638,True,True,False,False,True,False,2024-10-10,36,2144.1441441441443,2652
synthetic,True,resale,359000,240,house,5.0,3.0,,2.0,2018.0,lefkosia,Nicosia Old Town,35.172956,33.369489,68.977,1.826,True,False,False,False,True,False,2025-06-07,7,1495.8333333333333,1660
synthetic,True,resale,455000,227,house,4.0,2.0,,2.0,2016.0,lemesos,Mesa Geitonia,34.689821,33.0493,3.634,0.877,False,False,False,True,True,False,2026-01-30,9,2004.4052863436123,1927
synthetic,True,new_build,239000,134,house,4.0,2.0,,1.0,1981.0,lemesos,Episkopi,34.670775,32.911519,11.72,12.4,False,False,False,False,True,False,2024-07-26,44,1783.5820895522388,1536
synthetic,True,resale,150000,120,apartment,3.0,2.0,8.0,9.0,1986.0,larnaka,Aradippou,34.953603,33.593377,6.317,4.37,True,False,False,False,True,False,2025-02-21,39,1250.0,1333
synthetic,True,resale,232000,178,apartment,1.0,1.0,5.0,8.0,2024.0,lemesos,Kato Polemidia,34.697493,33.009737,5.064,3.754,True,False,False,False,True,False,2024-05-19,1,1303.370786516854,1493
synthetic,True,new_build,1676000,594,villa,3.0,4.0,,2.0,2002.0,lefkosia,Lakatamia,35.138391,33.334518,60.682,6.813,True,False,True,True,True,False,2025-08-28,23,2821.5488215488217,1517
synthetic,True,resale,122000,91,house,3.0,2.0,,2.0,2020.0,lefkosia,Lakatamia,35.135085,33.33374,53.987,7.144,True,False,False,True,False,False,2025-03-26,5,1340.6593406593406,1517
synthetic,True,new_build,67000,48,apartment,2.0,2.0,6.0,6.0,2006.0,lemesos,Zakaki,34.690359,33.027545,3.841,1.943,False,False,False,False,True,False,2025-07-12,19,1395.8333333333333,1611
synthetic,True,resale,172000,110,house,3.0,3.0,,1.0,2008.0,lefkosia,Nicosia Old Town,35.176973,33.378166,61.849,1.03,False,False,False,True,True,False,2026-04-04,17,1563.6363636363637,1660
synthetic,True,resale,392000,91,apartment,2.0,1.0,5.0,7.0,2013.0,lemesos,Agios Tychonas,34.708129,33.096655,7.462,5.418,True,False,False,False,True,True,2024-10-13,12,4307.692307692308,3788
synthetic,True,resale,67000,63,apartment,3.0,2.0,4.0,6.0,1973.0,pafos,Chloraka,34.790556,32.406912,4.058,2.295,True,False,False,False,False,False,2024-09-04,52,1063.4920634920634,1903
synthetic,True,resale,81000,47,apartment,2.0,2.0,2.0,3.0,2020.0,lemesos,Kato Polemidia,34.699482,33.006312,5.427,4.133,True,False,True,False,True,False,2024-07-18,5,1723.404255319149,1493
synthetic,True,resale,273000,86,apartment,2.0,1.0,3.0,3.0,2018.0,lemesos,Mouttagiaka,34.716441,33.08251,7.371,5.031,True,False,False,False,True,True,2024-07-13,7,3174.4186046511627,3193
synthetic,True,resale,77000,69,apartment,3.0,2.0,8.0,8.0,2005.0,lefkosia,Lakatamia,35.122296,33.31562,52.98,9.29,True,False,False,False,True,False,2025-08-23,20,1115.9420289855072,1517
synthetic,True,resale,139000,92,house,4.0,3.0,,2.0,2016.0,pafos,Yeroskipou,34.769311,32.464989,5.195,3.798,True,False,False,True,True,False,2025-02-28,9,1510.8695652173913,1531
synthetic,True,resale,272000,199,apartment,2.0,1.0,6.0,9.0,2020.0,larnaka,Drosia,34.924718,33.626465,1.895,0.352,True,False,False,False,False,False,2024-09-26,5,1366.8341708542714,1832
synthetic,True,new_build,2491000,580,villa,4.0,3.0,,2.0,2008.0,lemesos,Agios Tychonas,34.702269,33.108412,7.755,6.089,True,False,True,True,False,True,2024-06-08,17,4294.827586206897,3788
synthetic,True,resale,234000,77,apartment,4.0,1.0,7.0,8.0,2009.0,lemesos,Agía Zóni,34.676487,33.047383,2.207,0.653,True,True,False,False,False,False,2026-01-02,16,3038.961038961039,2652
synthetic,True,resale,197000,120,apartment,3.0,2.0,2.0,4.0,2022.0,larnaka,Drosia,34.926854,33.634449,1.695,1.107,True,False,False,False,True,False,2025-08-25,3,1641.6666666666667,1832
synthetic,True,resale,77000,54,apartment,2.0,2.0,7.0,8.0,2009.0,lefkosia,Strovolos,35.145844,33.358942,58.874,4.904,True,False,False,False,True,False,2024-06-30,16,1425.9259259259259,1771
synthetic,True,resale,243000,94,apartment,4.0,2.0,7.0,9.0,2005.0,lemesos,Germasogeia,34.716093,33.08753,7.529,5.316,False,False,False,False,True,False,2024-06-09,20,2585.1063829787236,2929
synthetic,True,resale,781000,338,villa,4.0,2.0,,2.0,2017.0,lemesos,Agía Zóni,34.682118,33.054551,3.076,0.746,True,False,False,True,False,False,2025-11-30,8,2310.6508875739646,2652
synthetic,True,resale,69000,60,apartment,2.0,1.0,3.0,4.0,2019.0,lefkosia,Nicosia Old Town,35.177527,33.365996,53.291,1.732,False,False,False,False,False,False,2024-05-26,6,1150.0,1660
synthetic,True,resale,603000,279,house,3.0,2.0,,2.0,2018.0,lemesos,Mesa Geitonia,34.685572,33.053497,3.184,0.744,True,False,False,True,True,False,2024-05-01,7,2161.2903225806454,1927
synthetic,True,resale,207000,116,house,4.0,2.0,,2.0,1988.0,pafos,Kato Paphos,34.756472,32.417127,0.86,2.21,True,False,False,False,False,True,2024-06-26,37,1784.4827586206898,2730
synthetic,True,resale,91000,67,apartment,3.0,1.0,6.0,7.0,2015.0,lefkosia,Nicosia Old Town,35.175003,33.381754,65.74,1.179,False,False,False,False,False,False,2024-08-20,10,1358.2089552238806,1660
synthetic,True,resale,166000,47,apartment,2.0,1.0,1.0,3.0,2025.0,lemesos,Agios Tychonas,34.714834,33.095783,8.223,5.785,True,True,False,False,True,True,2026-02-06,0,3531.9148936170213,3788
synthetic,True,resale,167000,122,house,4.0,2.0,,2.0,2019.0,lemesos,Ypsonas,34.710682,32.997618,6.703,5.463,True,False,False,False,True,False,2024-06-02,6,1368.8524590163934,1306
synthetic,True,resale,267000,95,house,4.0,3.0,,2.0,2015.0,lemesos,Mouttagiaka,34.712114,33.071824,6.603,4.049,True,False,False,True,True,True,2025-04-19,10,2810.5263157894738,3193
synthetic,True,new_build,346000,158,apartment,3.0,1.0,5.0,5.0,2018.0,lemesos,Kato Polemidia,34.692233,33.021182,3.826,2.557,True,False,False,False,True,False,2025-09-06,7,2189.8734177215188,1493
synthetic,True,resale,118000,84,apartment,2.0,1.0,2.0,4.0,2009.0,lemesos,Kato Polemidia,34.689675,33.00811,4.467,3.596,True,False,False,False,True,False,2024-10-22,16,1404.7619047619048,1493
synthetic,True,new_build,286000,98,apartment,2.0,1.0,8.0,11.0,2008.0,lefkosia,Engomi,35.178189,33.338169,56.028,4.095,True,False,False,False,False,False,2024-09-04,17,2918.3673469387754,2024
synthetic,True,resale,387000,141,apartment,3.0,1.0,7.0,10.0,2008.0,lemesos,Potamos Germasogeias,34.701075,33.074324,5.771,3.298,True,False,False,False,True,False,2024-06-23,17,2744.68085106383,2204
synthetic,True,resale,412000,193,apartment,3.0,2.0,6.0,8.0,1985.0,larnaka,Finikoudes,34.918762,33.642048,0.889,1.77,True,True,False,False,True,False,2026-01-12,40,2134.7150259067357,2276
synthetic,True,resale,270000,126,apartment,3.0,1.0,1.0,4.0,2023.0,lefkosia,Strovolos,35.143858,33.357004,67.918,5.18,True,False,True,False,True,False,2025-06-29,2,2142.8571428571427,1771
synthetic,True,resale,364000,183,house,3.0,2.0,,1.0,2007.0,lemesos,Polemidia,34.690785,33.020772,3.758,2.526,True,False,True,True,True,False,2024-05-13,18,1989.0710382513662,1661
synthetic,True,resale,259000,151,house,5.0,3.0,,1.0,2005.0,larnaka,Finikoudes,34.923119,33.630365,1.428,0.645,True,False,True,False,True,False,2025-10-11,20,1715.23178807947,2276
synthetic,True,resale,702000,393,villa,5.0,3.0,,1.0,2020.0,larnaka,Aradippou,34.942483,33.59313,5.341,3.508,True,False,False,True,True,False,2025-09-22,5,1786.2595419847328,1333
synthetic,True,resale,249000,123,apartment,1.0,1.0,5.0,8.0,1994.0,larnaka,Finikoudes,34.924977,33.647482,1.858,2.217,False,True,False,False,True,False,2026-01-21,31,2024.3902439024391,2276
synthetic,True,resale,606000,216,villa,5.0,3.0,,2.0,2002.0,lemesos,Agía Zóni,34.682909,33.049049,2.706,0.252,True,False,True,True,False,False,2024-08-11,23,2805.5555555555557,2652
synthetic,True,resale,117000,90,house,4.0,2.0,,2.0,1985.0,lemesos,Potamos Germasogeias,34.705778,33.060825,5.713,2.925,True,False,False,True,False,False,2026-02-04,40,1300.0,2204
synthetic,True,resale,174000,124,house,5.0,3.0,,2.0,1992.0,lemesos,Zakaki,34.691573,33.029704,3.605,1.842,False,False,True,True,True,False,2024-12-16,33,1403.225806451613,1611
synthetic,True,resale,137000,107,apartment,2.0,2.0,8.0,11.0,1997.0,lemesos,Zakaki,34.685355,33.030617,3.166,1.483,True,False,False,False,False,False,2025-05-14,28,1280.3738317757009,1611
synthetic,True,resale,467000,245,house,5.0,3.0,,2.0,2017.0,lefkosia,Strovolos,35.140653,33.354554,57.031,5.598,True,False,True,False,False,False,2024-06-23,8,1906.1224489795918,1771
synthetic,True,resale,179000,138,house,4.0,3.0,,1.0,1975.0,lemesos,Mesa Geitonia,34.689076,33.053581,3.647,0.999,True,False,False,True,False,False,2025-11-27,50,1297.1014492753623,1927
synthetic,True,resale,731000,361,villa,5.0,4.0,,2.0,2018.0,larnaka,Drosia,34.926677,33.621756,2.49,0.443,True,False,False,True,False,False,2024-09-27,7,2024.9307479224376,1832
synthetic,True,resale,169000,94,apartment,3.0,2.0,8.0,10.0,2021.0,lemesos,Episkopi,34.665972,32.921508,10.654,11.564,True,False,True,False,False,False,2024-10-30,4,1797.872340425532,1536
synthetic,True,new_build,79000,49,apartment,2.0,1.0,3.0,4.0,2019.0,larnaka,Aradippou,34.949526,33.596525,5.861,3.837,False,False,False,False,True,False,2024-06-17,6,1612.2448979591836,1333
synthetic,True,resale,325000,231,house,4.0,3.0,,1.0,2012.0,lemesos,Ypsonas,34.700454,33.00778,5.102,4.067,True,False,False,True,True,False,2024-09-16,13,1406.926406926407,1306
synthetic,True,resale,184000,74,apartment,4.0,1.0,6.0,8.0,1995.0,lemesos,Germasogeia,34.708992,33.068522,6.181,3.592,True,False,False,False,False,False,2025-06-30,30,2486.4864864864867,2929
synthetic,True,new_build,341000,186,house,3.0,3.0,,1.0,2004.0,lemesos,Episkopi,34.667059,32.916101,11.481,12.035,True,False,False,True,True,False,2025-04-05,21,1833.3333333333333,1536
synthetic,True,new_build,521000,196,apartment,1.0,1.0,6.0,8.0,2025.0,lefkosia,Engomi,35.176501,33.338997,52.741,4.064,True,False,False,False,True,False,2024-05-25,0,2658.1632653061224,2024
synthetic,True,resale,303000,128,apartment,4.0,1.0,1.0,4.0,2016.0,lemesos,Mesa Geitonia,34.693482,33.057442,3.875,1.602,False,False,False,False,True,False,2025-11-10,9,2367.1875,1927
synthetic,True,resale,404000,171,apartment,2.0,2.0,3.0,6.0,2006.0,lemesos,Agios Tychonas,34.71223,33.094148,7.818,5.489,True,False,False,False,False,True,2025-08-27,19,2362.5730994152045,3788
synthetic,True,resale,321000,160,house,4.0,3.0,,1.0,2023.0,pafos,Yeroskipou,34.765869,32.457256,4.738,3.212,True,False,False,True,False,False,2025-09-07,2,2006.25,1531
synthetic,True,new_build,1099000,621,villa,4.0,2.0,,1.0,1988.0,lemesos,Kato Polemidia,34.695443,33.003432,4.97,4.192,True,False,False,True,True,False,2024-06-22,37,1769.7262479871176,1493
synthetic,True,resale,319000,198,house,5.0,2.0,,2.0,2020.0,lemesos,Polemidia,34.693483,33.023467,3.979,2.438,True,False,False,True,False,False,2024-06-27,5,1611.111111111111,1661
synthetic,True,new_build,749000,397,villa,5.0,2.0,,2.0,2019.0,lemesos,Kato Polemidia,34.697766,33.011701,4.967,3.609,False,False,True,True,False,False,2025-08-16,6,1886.6498740554157,1493
synthetic,True,resale,156000,53,apartment,3.0,2.0,5.0,6.0,2012.0,lemesos,Germasogeia,34.711649,33.079322,6.931,4.439,True,False,False,False,True,False,2025-11-09,13,2943.396226415094,2929
synthetic,True,resale,367000,140,apartment,2.0,2.0,2.0,2.0,2014.0,lemesos,Mouttagiaka,34.715529,33.088256,7.606,5.319,True,False,True,False,True,True,2024-11-08,11,2621.4285714285716,3193
synthetic,True,resale,340000,132,apartment,2.0,1.0,4.0,4.0,2007.0,lemesos,Agía Zóni,34.677401,33.047586,2.012,0.555,False,True,True,False,False,False,2025-02-08,18,2575.757575757576,2652
synthetic,True,resale,135000,69,apartment,4.0,2.0,3.0,4.0,2019.0,lemesos,Episkopi,34.673757,32.911325,12.319,12.388,True,False,False,False,True,False,2025-12-20,6,1956.5217391304348,1536
synthetic,True,new_build,344000,105,house,4.0,3.0,,2.0,2019.0,lemesos,Potamos Germasogeias,34.709044,33.072781,6.33,3.829,True,False,True,False,True,False,2024-08-10,6,3276.190476190476,2204
synthetic,True,resale,145000,74,apartment,3.0,2.0,8.0,8.0,2024.0,lefkosia,Lakatamia,35.137525,33.334642,60.425,6.881,True,False,False,False,True,False,2025-06-11,1,1959.4594594594594,1517
synthetic,True,resale,294000,106,apartment,3.0,2.0,6.0,6.0,2021.0,larnaka,Finikoudes,34.916807,33.638254,0.561,1.522,True,True,False,False,True,False,2025-06-08,4,2773.5849056603774,2276
synthetic,True,resale,807000,276,villa,5.0,4.0,,1.0,2020.0,pafos,Kato Paphos,34.769393,32.410581,2.023,1.409,True,True,True,False,True,True,2025-02-15,5,2923.913043478261,2730
synthetic,True,resale,322000,149,house,3.0,2.0,,2.0,2002.0,lemesos,Pyrgos,34.710243,33.106066,7.953,6.278,False,False,False,False,True,True,2024-10-02,23,2161.0738255033557,2440
synthetic,True,resale,218000,130,apartment,1.0,1.0,2.0,3.0,2013.0,lemesos,Episkopi,34.669627,32.901762,12.571,13.301,True,False,True,False,True,False,2025-07-07,12,1676.923076923077,1536
synthetic,True,resale,226000,81,apartment,3.0,2.0,6.0,8.0,1986.0,lemesos,Germasogeia,34.713957,33.075764,6.95,4.427,True,False,False,False,True,False,2026-03-13,39,2790.1234567901233,2929
synthetic,True,new_build,306000,145,house,4.0,3.0,,2.0,2013.0,lemesos,Mesa Geitonia,34.680842,33.040189,2.302,0.591,True,True,True,False,False,False,2025-09-14,12,2110.344827586207,1927
synthetic,True,resale,410000,249,house,5.0,3.0,,1.0,2018.0,lefkosia,Lakatamia,35.127966,33.311923,53.249,9.056,True,False,False,False,True,False,2024-08-13,7,1646.5863453815261,1517
synthetic,True,resale,83000,57,apartment,3.0,2.0,4.0,4.0,1994.0,lemesos,Polemidia,34.6941,33.029815,3.717,2.005,True,False,True,False,False,False,2025-10-05,31,1456.140350877193,1661
synthetic,True,resale,256000,171,apartment,1.0,1.0,7.0,7.0,2015.0,lemesos,Ypsonas,34.701549,32.991792,6.491,5.432,True,False,False,False,True,False,2025-07-06,10,1497.076023391813,1306
synthetic,True,new_build,120000,96,apartment,1.0,1.0,6.0,9.0,2006.0,lemesos,Kato Polemidia,34.688775,33.006165,4.261,3.749,False,False,False,False,False,False,2025-05-23,19,1250.0,1493
synthetic,True,resale,112000,57,apartment,4.0,1.0,3.0,3.0,2011.0,lemesos,Potamos Germasogeias,34.703638,33.059848,5.656,2.672,True,False,False,False,True,False,2024-07-05,14,1964.9122807017543,2204
synthetic,True,new_build,717000,194,apartment,2.0,2.0,2.0,2.0,2017.0,lemesos,Germasogeia,34.708463,33.074425,5.984,3.877,True,False,False,False,True,False,2026-04-04,8,3695.8762886597938,2929
synthetic,True,resale,632000,168,house,4.0,2.0,,1.0,2009.0,lemesos,Agios Tychonas,34.71116,33.10063,7.898,5.906,True,False,True,True,False,True,2025-05-23,16,3761.904761904762,3788
synthetic,True,resale,506000,137,house,4.0,3.0,,2.0,2009.0,lemesos,Agía Zóni,34.672294,33.043832,1.689,1.137,True,True,True,False,True,False,2026-02-09,16,3693.4306569343066,2652
synthetic,True,resale,316000,170,apartment,3.0,1.0,6.0,8.0,2016.0,lefkosia,Lakatamia,35.127316,33.314927,52.279,8.917,True,False,False,False,True,False,2024-05-04,9,1858.8235294117646,1517
synthetic,True,resale,679000,268,house,5.0,2.0,,2.0,2005.0,lemesos,Mesa Geitonia,34.688622,33.048461,3.395,0.728,True,False,True,True,True,False,2025-01-15,20,2533.582089552239,1927
synthetic,True,resale,141000,50,apartment,2.0,2.0,6.0,6.0,2010.0,lemesos,Agía Zóni,34.681894,33.042966,2.411,0.317,True,True,False,False,False,False,2025-08-15,15,2820.0,2652
synthetic,True,resale,202000,117,house,4.0,2.0,,2.0,2015.0,lemesos,Zakaki,34.692916,33.027205,3.768,2.115,False,False,False,True,True,False,2025-11-27,10,1726.4957264957266,1611
synthetic,True,resale,680000,317,villa,5.0,4.0,,2.0,2016.0,pafos,Chloraka,34.794872,32.421676,4.84,2.165,True,False,True,True,False,False,2026-01-09,9,2145.1104100946372,1903
synthetic,True,resale,281000,167,house,3.0,3.0,,1.0,2012.0,lefkosia,Strovolos,35.138956,33.33952,60.688,6.483,True,False,False,True,True,False,2026-04-14,13,1682.6347305389222,1771
synthetic,True,new_build,544000,454,land,,,,,,pafos,Kato Paphos,34.768551,32.427407,2.022,0.83,True,False,False,False,True,True,2024-04-24,20,1198.2378854625551,2730
synthetic,True,new_build,553000,146,apartment,1.0,1.0,2.0,2.0,2007.0,lemesos,Agios Tychonas,34.711874,33.095583,7.664,5.571,True,False,True,False,False,True,2025-09-08,18,3787.671232876712,3788
synthetic,True,resale,166000,97,apartment,4.0,2.0,3.0,4.0,1986.0,lefkosia,Engomi,35.179672,33.356919,51.734,2.399,True,False,False,False,True,False,2024-10-31,39,1711.340206185567,2024
synthetic,True,resale,122000,80,apartment,2.0,1.0,1.0,3.0,1992.0,lefkosia,Engomi,35.178985,33.355244,65.876,2.567,True,False,False,False,True,False,2025-07-20,33,1525.0,2024
synthetic,True,new_build,848000,408,villa,4.0,3.0,,1.0,2004.0,lemesos,Episkopi,34.66597,32.908595,12.044,12.732,True,False,True,True,True,False,2026-02-14,21,2078.4313725490197,1536
synthetic,True,new_build,84000,50,apartment,2.0,2.0,5.0,6.0,2019.0,lemesos,Episkopi,34.669184,32.901651,12.547,13.317,True,False,False,False,True,False,2024-11-07,6,1680.0,1536
synthetic,True,resale,267000,273,house,4.0,2.0,,2.0,1972.0,lemesos,Kato Polemidia,34.690515,33.006378,4.411,3.772,True,False,False,True,False,False,2025-08-03,53,978.021978021978,1493
synthetic,True,resale,272000,135,apartment,1.0,1.0,5.0,7.0,2014.0,lemesos,Zakaki,34.681168,33.022456,2.418,2.193,True,True,False,False,True,False,2024-10-02,11,2014.8148148148148,1611
synthetic,True,resale,207000,90,apartment,1.0,1.0,7.0,10.0,2025.0,lefkosia,Engomi,35.174971,33.343126,56.928,3.751,True,False,False,False,True,False,2026-01-18,0,2300.0,2024
synthetic,True,resale,192000,148,house,3.0,3.0,,2.0,2006.0,lefkosia,Strovolos,35.139859,33.352205,51.246,5.775,True,False,False,True,False,False,2025-04-13,19,1297.2972972972973,1771
synthetic,True,new_build,394000,90,apartment,3.0,2.0,3.0,3.0,2025.0,pafos,Kato Paphos,34.75824,32.410638,0.458,2.279,True,True,False,False,True,True,2026-01-08,0,4377.777777777777,2730
synthetic,True,new_build,194000,130,apartment,4.0,1.0,1.0,1.0,2017.0,lemesos,Polemidia,34.690179,33.025759,3.705,2.081,True,False,False,False,False,False,2025-03-19,8,1492.3076923076924,1661
synthetic,True,resale,196000,129,apartment,2.0,2.0,1.0,1.0,1992.0,lefkosia,Engomi,35.171182,33.344157,67.668,3.819,False,False,False,False,True,False,2025-04-12,33,1519.3798449612402,2024
synthetic,True,resale,126000,70,apartment,1.0,1.0,1.0,4.0,2020.0,lemesos,Polemidia,34.698485,33.01304,4.915,3.541,False,False,False,False,True,False,2025-09-02,5,1800.0,1661
synthetic,True,resale,108000,52,apartment,3.0,2.0,3.0,4.0,2021.0,lefkosia,Nicosia Old Town,35.184028,33.381814,53.474,0.18,True,False,False,False,True,False,2024-07-25,4,2076.923076923077,1660
synthetic,True,resale,450000,127,house,5.0,3.0,,2.0,2008.0,lemesos,Agía Zóni,34.683944,33.052353,2.873,0.574,True,True,False,True,True,False,2024-07-25,17,3543.3070866141734,2652
synthetic,True,resale,162000,98,house,5.0,3.0,,2.0,1996.0,lefkosia,Engomi,35.170981,33.34475,63.77,3.78,False,False,False,False,True,False,2026-01-25,29,1653.061224489796,2024
synthetic,True,new_build,225000,65,apartment,2.0,1.0,2.0,4.0,1989.0,lemesos,Mouttagiaka,34.71828,33.071775,7.106,4.625,True,True,False,False,False,True,2024-06-17,36,3461.5384615384614,3193
synthetic,True,resale,127000,68,apartment,3.0,1.0,2.0,2.0,2025.0,lefkosia,Engomi,35.181586,33.338735,50.402,3.984,True,False,False,False,True,False,2025-05-10,0,1867.6470588235295,2024
synthetic,True,resale,606000,146,house,4.0,3.0,,1.0,2005.0,lemesos,Agios Tychonas,34.714441,33.101899,8.272,6.206,True,False,False,True,True,True,2025-03-03,20,4150.684931506849,3788
synthetic,True,resale,235000,153,apartment,1.0,1.0,8.0,10.0,2003.0,lemesos,Episkopi,34.669628,32.911626,11.647,12.405,True,False,False,False,True,False,2024-10-26,22,1535.9477124183006,1536
synthetic,True,new_build,1247000,578,villa,6.0,4.0,,2.0,2019.0,lemesos,Kato Polemidia,34.692122,33.022041,3.851,2.481,False,False,True,True,False,False,2026-02-05,6,2157.439446366782,1493
synthetic,True,resale,353000,289,house,4.0,3.0,,1.0,2015.0,lemesos,Ypsonas,34.712849,33.000394,6.769,5.406,True,False,False,True,True,False,2024-06-13,10,1221.453287197232,1306
synthetic,True,resale,45000,46,apartment,3.0,2.0,6.0,6.0,2020.0,lemesos,Ypsonas,34.704131,32.992877,6.292,5.462,False,False,False,False,False,False,2025-05-21,5,978.2608695652174,1306
synthetic,True,resale,507000,262,house,5.0,2.0,,2.0,2013.0,lemesos,Mesa Geitonia,34.682819,33.044228,2.222,0.207,False,False,False,True,False,False,2024-04-23,12,1935.1145038167938,1927
synthetic,True,resale,256000,152,apartment,2.0,2.0,6.0,7.0,2002.0,lemesos,Mesa Geitonia,34.685954,33.058461,3.281,1.175,True,False,False,False,True,False,2024-06-16,23,1684.2105263157894,1927
synthetic,True,resale,629000,222,house,5.0,2.0,,1.0,2025.0,lemesos,Agía Zóni,34.681978,33.038151,2.584,0.755,True,False,False,False,True,False,2025-03-04,0,2833.3333333333335,2652
synthetic,True,new_build,824000,905,land,,,,,,lefkosia,Engomi,35.18443,33.356466,61.229,2.351,False,False,False,False,True,False,2025-11-12,20,910.4972375690608,2024
synthetic,True,resale,222000,91,apartment,2.0,2.0,7.0,10.0,2015.0,lemesos,Germasogeia,34.717146,33.085251,7.438,5.256,False,False,False,False,True,False,2025-04-12,10,2439.5604395604396,2929
synthetic,True,resale,1544000,482,villa,4.0,4.0,,2.0,2006.0,lemesos,Pyrgos,34.723147,33.098623,8.906,6.589,True,True,True,True,False,True,2026-02-01,19,3203.319502074689,2440
synthetic,True,resale,623000,173,apartment,4.0,2.0,3.0,5.0,1996.0,lemesos,Agios Tychonas,34.713614,33.095895,7.507,5.71,True,True,False,False,False,True,2026-01-14,29,3601.156069364162,3788
synthetic,True,resale,235000,124,apartment,4.0,2.0,4.0,4.0,2016.0,lemesos,Mesa Geitonia,34.686435,33.049548,3.012,0.542,True,False,False,False,True,False,2025-06-21,9,1895.1612903225807,1927
synthetic,True,resale,263000,151,apartment,1.0,1.0,3.0,4.0,2015.0,lemesos,Kato Polemidia,34.691505,33.01717,4.523,2.862,True,False,False,False,True,False,2026-02-24,10,1741.7218543046358,1493
synthetic,True,new_build,144000,73,apartment,3.0,1.0,5.0,8.0,2017.0,lefkosia,Lakatamia,35.133795,33.320419,57.605,8.052,True,False,False,False,True,False,2025-09-22,8,1972.6027397260275,1517
synthetic,True,resale,1436000,2350,land,,,,,,lefkosia,Lakatamia,35.127158,33.320244,53.207,8.606,False,False,False,False,True,False,2025-11-13,20,611.063829787234,1517
synthetic,True,new_build,263000,119,apartment,2.0,1.0,3.0,3.0,2007.0,pafos,Chloraka,34.790301,32.422619,3.835,1.651,True,False,False,False,True,False,2024-07-17,18,2210.084033613445,1903
